,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,17051000.0,11382000.0,19102545.454545,15877106.04559,
Tax Rate For Calcs,0.289,0.271,0.276848,0.264618,
Normalized EBITDA,5006000000.0,4925000000.0,4615000000.0,4469000000.0,
Total Unusual Items,59000000.0,42000000.0,69000000.0,60000000.0,
Total Unusual Items Excluding Goodwill,59000000.0,42000000.0,69000000.0,60000000.0,
Net Income From Continuing Operation Net Minority Interest,3158000000.0,3167000000.0,2981000000.0,2963000000.0,
Reconciled Depreciation,569000000.0,565000000.0,524000000.0,466000000.0,
Reconciled Cost Of Revenue,13405000000.0,12975000000.0,12709000000.0,10996000000.0,
EBITDA,5065000000.0,4967000000.0,4684000000.0,4529000000.0,
EBIT,4496000000.0,4402000000.0,4160000000.0,4063000000.0,
Net Interest Income,296000000.0,431000000.0,191000000.0,194000000.0,
Interest Expense,49000000.0,56000000.0,35000000.0,27000000.0,
Interest Income,345000000.0,487000000.0,226000000.0,221000000.0,
Normalized Income,3116051000.0,3136382000.0,2931102545.454545,2918877106.04559,
Net Income From Continuing And Discontinued Operation,3158000000.0,3167000000.0,2981000000.0,2963000000.0,
Total Expenses,15200000000.0,14713000000.0,14387000000.0,12556000000.0,
Rent Expense Supplemental,,,11000000.0,9000000.0,10000000.0
Total Operating Income As Reported,4071000000.0,3834000000.0,3825000000.0,3755000000.0,
Diluted Average Shares,4155263158.0,4144680425.0,4187731070.0,4218525134.0,
Basic Average Shares,4155263158.0,4138568090.0,4180897857.0,4209546724.0,
Diluted EPS,0.76,0.76,0.71,0.7,
Basic EPS,0.76,0.77,0.71,0.7,
Diluted NI Availto Com Stockholders,3158000000.0,3167000000.0,2981000000.0,2963000000.0,
Net Income Common Stockholders,3158000000.0,3167000000.0,2981000000.0,2963000000.0,
Net Income,3158000000.0,3167000000.0,2981000000.0,2963000000.0,
Minority Interests,-4000000.0,-2000000.0,-2000000.0,-5000000.0,
Net Income Including Noncontrolling Interests,3162000000.0,3169000000.0,2983000000.0,2968000000.0,
Net Income Continuous Operations,3162000000.0,3169000000.0,2983000000.0,2968000000.0,
Tax Provision,1285000000.0,1177000000.0,1142000000.0,1068000000.0,
Pretax Income,4447000000.0,4346000000.0,4125000000.0,4036000000.0,
Other Income Expense,74000000.0,66000000.0,109000000.0,87000000.0,
Other Non Operating Income Expenses,15000000.0,24000000.0,40000000.0,27000000.0,
Special Income Charges,-6000000.0,-15000000.0,-35000000.0,-23000000.0,
Gain On Sale Of Business,,,,,0.0
Write Off,6000000.0,15000000.0,35000000.0,23000000.0,
Impairment Of Capital Assets,,,,,0.0
Gain On Sale Of Security,65000000.0,57000000.0,69000000.0,60000000.0,
Net Non Operating Interest Income Expense,296000000.0,431000000.0,191000000.0,194000000.0,
Interest Expense Non Operating,49000000.0,56000000.0,35000000.0,27000000.0,
Interest Income Non Operating,345000000.0,487000000.0,226000000.0,221000000.0,
Operating Income,4077000000.0,3849000000.0,3825000000.0,3755000000.0,
Operating Expense,1795000000.0,1738000000.0,1678000000.0,1560000000.0,
Other Operating Expenses,123000000.0,121000000.0,116000000.0,110000000.0,
Other Taxes,41000000.0,39000000.0,37000000.0,35000000.0,
Selling General And Administration,1631000000.0,1578000000.0,1678000000.0,1560000000.0,
Selling And Marketing Expense,201000000.0,168000000.0,776000000.0,692000000.0,
General And Administrative Expense,1430000000.0,1410000000.0,902000000.0,868000000.0,
Other Gand A,379000000.0,400000000.0,902000000.0,868000000.0,
Insurance And Claims,35000000.0,25000000.0,21000000.0,22000000.0,
Rent And Landing Fees,,,7000000.0,6000000.0,6000000.0
Salaries And Wages,1016000000.0,985000000.0,905000000.0,873000000.0,
Gross Profit,5872000000.0,5587000000.0,5503000000.0,5315000000.0,
Cost Of Revenue,13405000000.0,12975000000.0,12709000000.0,10996000000.0,
Total Revenue,19277000000.0,18562000000.0,18212000000.0,16311000000.0,
Operating Revenue,19277000000.0,18562000000.0,18212000000.0,16311000000.0,
